Timestamp, Angle, Speed, Distance, Yaw, Pitch, Roll, AccX, AccY, AccZ, Flag
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.04,-0.05,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.03,-0.04,-0.14,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.01,-0.17,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.06,-0.06,-0.17,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.06,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.02,-0.04,-0.13,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,0.01,-0.01,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.04,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,0,-0.04,-0.17,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.01,-0.04,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,0.01,-0.02,-0.19,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.04,-0.05,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.06,-0.07,-0.12,0
[2025-06-06 12:55:18],-9.64,0,0,0.96,0.06,-0.44,-0.03,-0.05,-0.18,0
